0,1,2,3,4,5,6,7,8,9,10,Class
31,22,7,42,13,26,30,22,17,13,7,0
36,24,12,23,12,14,19,23,25,23,26,0
88,66,62,63,59,82,55,85,107,78,64,0
55,114,119,76,66,61,90,91,61,84,63,0
58,75,94,192,92,178,230,260,30,245,119,0
95,78,92,63,52,69,35,66,120,79,90,0
88,120,48,68,125,65,40,75,93,56,74,0
117,93,70,126,130,93,236,197,50,205,37,0
77,163,122,230,158,221,480,386,31,379,75,0
42,48,33,31,42,19,41,44,29,35,27,0
14,19,11,20,20,29,18,23,11,25,7,0
23,18,8,24,11,24,16,35,41,25,37,0
57,102,61,80,69,72,90,70,43,91,76,0
65,44,26,48,38,44,55,52,47,48,54,0
14,4,7,15,0,9,4,15,16,9,7,0
29,66,31,50,38,41,48,36,18,44,60,0
61,123,116,129,43,100,280,109,52,117,55,0
70,35,35,42,26,46,20,38,94,44,38,0
72,66,47,32,36,49,18,36,52,44,33,0
41,48,34,29,14,24,10,27,32,28,36,0
12,12,20,18,4,22,7,19,6,19,14,0
79,50,72,46,102,38,53,79,75,56,54,0
19,8,19,24,5,18,15,24,28,20,18,0
30,80,155,126,53,106,180,160,52,186,95,0
79,56,59,38,61,51,104,68,72,64,78,0
73,84,56,13,67,18,30,30,74,31,50,0
10,3,7,6,5,9,6,20,35,12,19,0
35,8,27,19,10,18,17,29,29,31,18,0
587,1053,1452,449,664,335,549,578,515,629,370,0
25,10,15,14,11,19,40,33,25,25,14,0
51,6,10,15,10,19,9,21,55,14,31,0
38,16,2,12,16,13,9,14,31,14,14,0
59,55,36,24,30,23,20,45,62,50,42,0
54,69,29,33,33,39,25,18,32,21,17,0
56,85,49,52,66,48,51,65,47,62,20,0
7,79,25,27,34,29,13,16,6,15,8,0
38,63,34,40,57,32,25,39,52,44,31,0
64,44,39,31,40,36,35,34,77,46,35,0
43,53,41,47,45,45,22,31,26,30,25,0
30,39,18,29,17,24,5,19,37,25,19,0
91,84,31,70,131,60,96,94,47,82,35,0
164,417,146,172,318,173,140,180,73,166,91,0
89,109,47,88,98,84,107,129,48,111,89,0
52,58,31,55,39,53,60,70,23,68,45,0
36,38,10,34,66,43,110,86,15,76,27,0
42,27,10,41,18,30,10,22,39,25,39,0
100,191,137,167,192,148,317,226,68,248,114,0
30,37,31,48,18,37,20,39,26,43,29,0
346,472,563,387,319,352,337,540,183,512,292,0
37,92,74,83,51,82,39,65,38,68,67,0
63,47,34,37,42,48,30,62,46,55,71,0
51,65,32,72,45,83,55,48,45,78,64,0
49,70,51,69,49,66,48,55,47,57,50,0
11,40,17,26,22,19,9,17,17,7,10,0
80,148,96,54,47,63,37,71,58,83,70,0
60,70,44,72,41,80,49,79,30,77,44,0
26,26,22,36,23,42,25,33,22,30,27,0
48,105,83,36,37,44,24,41,25,45,29,0
60,74,48,80,49,67,53,99,37,83,71,0
14,58,19,25,18,28,19,9,4,12,6,0
66,139,49,87,97,92,95,119,45,105,57,0
35,166,55,71,88,56,66,62,36,64,25,0
25,50,12,24,35,26,17,18,36,27,26,0
64,58,40,54,54,46,36,44,49,38,43,0
21,81,20,31,41,34,28,19,11,22,12,0
66,64,22,35,19,37,16,25,38,27,30,0
24,28,14,13,8,13,7,10,24,6,14,0
18,6,14,14,1,9,7,20,22,19,22,0
22,58,27,26,32,26,30,33,16,33,23,0
32,43,7,33,15,42,14,25,35,29,37,0
34,46,16,36,16,43,17,32,54,32,33,0
2,9,4,7,8,7,7,3,11,7,3,0
46,27,50,25,20,24,18,21,67,34,32,0
66,101,85,63,50,56,58,74,52,79,63,0
44,66,79,39,44,29,36,38,79,45,25,0
49,27,54,50,19,41,26,56,49,38,36,0
73,77,69,50,33,58,52,60,49,63,54,0
46,61,48,66,48,57,112,94,38,81,31,0
30,25,40,43,30,42,39,54,39,42,30,0
36,25,22,17,10,16,11,6,60,10,16,0
43,79,71,52,61,47,57,76,28,66,36,0
13,2,11,5,3,6,6,1,21,2,2,0
35,64,18,17,23,14,9,17,25,21,26,0
53,45,24,51,20,32,37,51,24,67,51,0
99,51,43,53,44,39,218,103,52,94,21,0
98,82,98,58,54,51,53,63,136,66,84,0
67,5,7,21,4,23,12,29,68,27,34,0
28,27,55,35,28,45,22,33,55,36,24,0
176,65,50,36,53,34,32,52,232,48,72,0
44,70,42,25,57,24,11,23,59,31,18,0
85,49,32,30,58,38,31,42,89,49,62,0
22,21,26,31,24,26,10,20,26,23,20,0
98,75,59,64,50,44,18,58,105,56,36,0
49,28,21,15,22,15,8,15,65,22,38,0
36,25,6,19,25,13,14,35,23,21,22,0
