0,1,2,3,4,5,6,7,8,9,10,Class
112,61,48,56,47,61,58,81,128,82,67,1
32,100,68,18,50,23,31,46,58,47,27,1
68,37,19,34,20,42,25,37,101,35,66,1
40,84,81,85,34,78,72,68,89,58,51,1
57,91,167,67,45,73,99,89,96,95,79,1
78,26,35,29,44,33,27,35,71,29,40,1
61,37,27,28,27,34,10,40,41,29,29,1
38,14,5,11,18,18,12,16,25,13,12,1
159,74,119,51,60,61,44,67,134,82,65,1
49,52,18,31,38,28,17,21,40,37,27,1
45,54,68,45,29,60,54,70,51,52,42,1
78,70,127,96,64,97,118,136,87,146,95,1
40,54,5,28,40,34,30,28,66,32,36,1
59,72,69,83,60,76,89,91,57,96,63,1
33,28,34,73,39,56,156,95,43,99,47,1
73,33,45,27,12,35,19,26,70,21,44,1
56,125,123,202,96,163,321,246,36,244,63,1
45,18,23,25,15,22,23,27,43,20,50,1
75,66,59,46,44,42,22,56,96,55,55,1
41,38,27,33,29,24,57,52,56,56,29,1
46,7,4,21,13,20,10,17,45,17,14,1
75,67,38,27,56,24,21,26,94,23,32,1
83,37,57,76,45,69,69,96,44,94,38,1
93,224,273,127,200,135,308,233,95,250,101,1
58,21,33,37,19,39,46,40,43,52,48,1
103,102,134,140,71,127,393,272,102,219,90,1
57,87,130,138,66,145,393,231,64,186,42,1
99,11,43,30,15,32,23,48,53,46,90,1
64,52,17,48,23,42,25,32,63,35,69,1
60,39,72,38,35,28,38,51,70,40,33,1
94,336,137,61,166,78,131,129,113,127,75,1
33,48,22,32,59,29,22,31,39,24,23,1
49,57,57,112,41,105,224,160,37,169,63,1
13,23,25,20,16,14,17,27,25,28,26,1
15,19,9,17,11,34,16,22,25,20,11,1
10,14,17,10,10,18,18,24,9,22,33,1
52,14,25,41,19,46,28,39,42,42,47,1
67,27,37,48,44,48,40,61,88,54,66,1
41,36,55,84,85,64,238,265,23,265,29,1
94,98,111,104,70,105,173,152,76,118,124,1
47,70,41,62,32,67,66,81,34,73,53,1
73,78,101,217,65,204,368,408,42,388,144,1
104,104,32,59,80,58,36,44,60,43,64,1
87,38,127,43,15,48,49,61,93,63,53,1
92,33,26,69,22,73,42,83,81,73,81,1
84,96,56,149,85,116,210,195,64,173,85,1
90,125,66,62,110,49,91,115,43,118,58,1
125,57,40,65,83,55,72,89,103,78,80,1
77,70,61,68,50,76,46,61,55,62,75,1
192,105,47,78,69,89,64,74,150,97,113,1
63,52,36,50,39,49,64,61,35,67,39,1
19,102,75,34,75,23,35,60,83,53,31,1
52,75,91,113,63,98,176,166,52,177,83,1
53,62,65,68,41,58,166,87,55,88,36,1
72,53,56,27,28,36,35,50,64,34,28,1
77,81,63,139,79,151,173,221,17,194,94,1
51,111,64,97,52,75,150,127,39,128,63,1
63,66,32,35,46,45,44,63,63,61,68,1
44,35,17,56,8,56,147,59,59,56,43,1
66,78,82,79,56,85,106,52,74,60,63,1
66,67,61,24,44,31,15,29,59,30,48,1
